Archivo,Algoritmo,Tiempo Total (segundos),Operaciones Totales
lista_post_p016,Bubble Sort Adaptativo,255.4143350124359,1241375084
lista_post_p016,Heapsort,2.479623556137085,7149846
lista_post_p016,Mergesort Optimizado,1.0507009029388428,1572444
lista_post_p016,Quicksort Mejorado,1.2076032161712646,4207895
lista_post_p016,SkipList Mejorada,2.9930877685546875,5082259
lista_post_p032,Bubble Sort Adaptativo,239.26553630828857,1234395441
lista_post_p032,Heapsort,2.0057787895202637,7143747
lista_post_p032,Mergesort Optimizado,1.0608716011047363,1669236
lista_post_p032,Quicksort Mejorado,1.167083978652954,4259912
lista_post_p032,SkipList Mejorada,2.7529385089874268,4893750
lista_post_p064,Bubble Sort Adaptativo,227.43630814552307,1298424914
lista_post_p064,Heapsort,2.0123093128204346,7134135
lista_post_p064,Mergesort Optimizado,1.1192951202392578,1755354
lista_post_p064,Quicksort Mejorado,1.1211066246032715,4162969
lista_post_p064,SkipList Mejorada,2.9547531604766846,5059347
lista_post_p128,Bubble Sort Adaptativo,232.10220909118652,1316731629
lista_post_p128,Heapsort,2.051896572113037,7112061
lista_post_p128,Mergesort Optimizado,1.0970485210418701,1844035
lista_post_p128,Quicksort Mejorado,1.1326782703399658,4220426
lista_post_p128,SkipList Mejorada,2.899946689605713,4893048
lista_post_p256,Bubble Sort Adaptativo,248.40624809265137,1333628216
lista_post_p256,Heapsort,2.219191551208496,7079295
lista_post_p256,Mergesort Optimizado,1.1030585765838623,1915028
lista_post_p256,Quicksort Mejorado,1.1363608837127686,4217797
lista_post_p256,SkipList Mejorada,2.8952362537384033,4910622
lista_post_p512,Bubble Sort Adaptativo,246.07408571243286,1357473311
lista_post_p512,Heapsort,2.163036346435547,7032459
lista_post_p512,Mergesort Optimizado,1.1405704021453857,1975697
lista_post_p512,Quicksort Mejorado,1.231546401977539,4217188
lista_post_p512,SkipList Mejorada,3.313739538192749,4943291
